set,name,be_new_value,bl_sold_new_avg,lots_new,be_used_value,bl_sold_used_avg,lots_used,be_over_bl_new,be_over_bl_used,bucket
71049-2,Mercedes-AMG,7.22,44.56,45,,,0,0.162,,healthy
71741-1,NINJAGO City Gardens,,349.45,81,321.15,284.36,24,,1.129,healthy
71052-8,Tuba Player,4.99,,,,,,,,error/not-found
75301-1,Luke Skywalker's X-wing Fighter,83.64,60.55,161,,39.62,51,1.381,,healthy
40567-1,Forestmen Forest Hideout,44.96,41.06,156,,35.72,6,1.095,,healthy
76216-1,Iron Man Armoury,,64.47,44,53.90,53.01,2,,1.017,healthy
71051-5,Frog Costume Guy,,,,8.18,,,,,error/not-found
75312-1,Boba Fett's Starship,59.96,43.74,93,,28.04,26,1.371,,healthy
76266-1,Endgame Final Battle,83.50,56.66,17,,71.45,1,1.474,,healthy
71051-6,Koala Costume Guy,,,,4.84,,,,,error/not-found
71798-1,Nya and Arin's Baby Dragon Battle,29.99,21.42,9,,,0,1.400,,sparse
76265-1,Batwing: Batman vs. The Joker,45.72,34.27,31,,22.93,5,1.334,,healthy
75316-1,Mandalorian Starfighter,69.43,71.47,124,,59.91,26,0.971,,healthy
40452-1,Hogwarts Gryffindor Dorms,56.17,53.68,22,,37.00,6,1.046,,healthy
76447-1,Hogwarts Castle: Flying Lessons,79.99,76.97,6,,71.81,1,1.039,,sparse
41696-1,Pony-Washing Stable,,8.92,4,5.62,5.66,2,,0.993,sparse
31109-1,Pirate Ship,,95.46,70,107.90,76.08,18,,1.418,healthy
71052-1,Robot T. rex,4.99,3.78,6,,,0,1.319,,sparse
10308-1,Holiday Main Street,,123.59,54,108.64,107.13,7,,1.014,healthy
77256-1,Time Machine from Back to the Future,27.99,28.34,119,,16.85,6,0.988,,healthy
75310-1,Duel on Mandalore,21.90,21.68,85,20.00,14.97,29,1.010,1.336,healthy
40818-1,Italy Postcard,14.99,19.62,4,,,0,0.764,,sparse
71048-9,Cupid,8.16,,,6.77,,,,,error/not-found
71034-8,Wolf Costume,,,,3.65,,,,,error/not-found
10356-1,Star Trek: U.S.S. Enterprise NCC-1701-D,399.99,383.14,34,,356.21,4,1.044,,healthy
31115-1,Space Mining Mech,,48.72,5,20.45,27.06,4,,0.756,sparse
76335-1,Spider-Man vs. Ghost Rider Motorcycle,9.99,9.70,22,,,0,1.030,,healthy
75314-1,The Bad Batch Attack Shuttle,222.28,195.65,110,,164.70,44,1.136,,healthy
30694-1,Space Science Mech,4.99,4.28,101,,4.67,3,1.166,,healthy
76441-1,Hogwarts Castle: Dueling Club,24.99,24.14,47,,16.06,6,1.035,,healthy
10354-1,The Lord of the Rings: The Shire,269.99,231.05,28,,210.17,4,1.169,,healthy
41677-1,Forest Waterfall,,7.50,19,5.88,5.54,6,,1.061,healthy
40917-1,The Darksaber,57.87,45.24,251,,,0,1.279,,healthy
71052-2,Marine Biologist,4.99,48.06,304,,,0,0.104,,healthy
75362-1,Ahsoka Tano's T-6 Jedi Shuttle,,53.07,122,57.99,40.37,21,,1.436,healthy
71034-5,Christmas Elf,,,,4.23,,,,,error/not-found
